,Date,Price,Open,High,Low,Vol.,Change
112,11/29/2022,3962.0,3972.0,3990.25,3941.25,1.50M,-0.21%
113,11/28/2022,3970.25,4020.25,4024.0,3960.25,1.48M,-1.54%
114,11/25/2022,4032.5,4038.75,4049.25,4024.75,608.80K,-0.28%
115,11/24/2022,4044.0,4041.0,4049.0,4037.25,111.62K,+0.27%
116,11/23/2022,4033.0,4010.0,4039.5,4002.0,1.28M,+0.57%
117,11/22/2022,4010.25,3957.75,4012.5,3945.25,1.16M,+1.32%
118,11/21/2022,3958.0,3972.5,3982.0,3937.5,1.18M,-0.40%
119,11/18/2022,3974.0,3960.5,3994.0,3942.5,1.53M,+0.47%
120,11/17/2022,3955.25,3977.25,3990.25,3912.5,1.56M,-0.33%
121,11/16/2022,3968.5,3992.0,4015.75,3962.0,1.50M,-0.78%
122,11/15/2022,3999.5,3974.75,4050.75,3960.0,2.23M,+0.84%
123,11/14/2022,3966.0,3984.0,4017.5,3964.0,1.59M,-0.86%
124,11/11/2022,4000.25,3973.0,4009.75,3951.0,1.93M,+0.99%
125,11/10/2022,3961.0,3757.0,3973.5,3751.5,2.41M,+5.47%
126,11/09/2022,3755.5,3832.5,3848.75,3750.0,1.89M,-2.08%
127,11/08/2022,3835.25,3812.75,3867.0,3792.75,1.88M,+0.52%
128,11/07/2022,3815.25,3750.0,3821.75,3738.25,1.48M,+0.95%
129,11/04/2022,3779.5,3724.0,3805.5,3711.0,2.49M,+1.39%
130,11/03/2022,3727.75,3766.75,3782.5,3704.25,1.89M,-1.09%
131,11/02/2022,3768.75,3863.0,3907.0,3760.25,2.21M,-2.52%
132,11/01/2022,3866.0,3884.0,3928.0,3852.5,1.90M,-0.44%
133,10/31/2022,3883.0,3911.5,3914.75,3872.25,2.00M,-0.72%
134,10/28/2022,3911.25,3798.25,3924.25,3776.75,2.08M,+2.40%
135,10/27/2022,3819.5,3844.25,3870.75,3757.5,2.21M,-0.56%
136,10/26/2022,3841.0,3841.0,3897.5,3824.25,2.12M,-0.76%
137,10/25/2022,3870.25,3803.25,3874.25,3790.0,1.84M,+1.60%
138,10/24/2022,3809.25,3771.0,3822.0,3736.5,2.11M,+1.20%
139,10/21/2022,3764.0,3677.75,3773.25,3641.5,2.68M,+2.41%
140,10/20/2022,3675.25,3708.0,3748.0,3666.25,2.40M,-0.86%
141,10/19/2022,3707.25,3759.75,3774.25,3676.75,2.35M,-0.68%
142,10/18/2022,3732.75,3706.25,3777.25,3697.25,2.75M,+1.18%
143,10/17/2022,3689.25,3591.0,3702.5,3590.5,1.95M,+2.55%
144,10/14/2022,3597.5,3680.25,3733.75,3591.25,2.73M,-2.29%
145,10/13/2022,3681.75,3596.25,3697.75,3502.0,3.29M,+2.60%
146,10/12/2022,3588.5,3607.0,3635.25,3585.5,1.95M,-0.30%
147,10/11/2022,3599.25,3624.75,3653.25,3579.0,2.40M,-0.72%
148,10/10/2022,3625.25,3638.75,3667.5,3600.0,2.02M,-0.77%
149,10/07/2022,3653.25,3745.75,3770.5,3632.5,2.24M,-2.76%
150,10/06/2022,3756.75,3795.75,3819.5,3750.0,2.16M,-0.98%
151,10/05/2022,3794.0,3801.0,3820.0,3734.0,2.09M,-0.24%
152,10/04/2022,3803.25,3696.5,3808.75,3686.25,2.38M,+3.06%
153,10/03/2022,3690.25,3593.25,3711.75,3571.75,2.32M,+2.46%
154,09/30/2022,3601.5,3656.5,3693.75,3595.25,2.98M,-1.44%
155,09/29/2022,3654.25,3730.25,3736.0,3622.0,2.86M,-2.08%
156,09/28/2022,3732.0,3668.5,3751.25,3613.0,2.78M,+1.94%
157,09/27/2022,3661.0,3668.0,3733.0,3635.25,2.96M,-0.25%
158,09/26/2022,3670.0,3705.25,3730.5,3657.5,2.90M,-1.05%
159,09/23/2022,3709.0,3777.25,3783.25,3660.25,2.91M,-1.67%
160,09/22/2022,3772.0,3794.0,3833.0,3763.5,2.58M,-0.90%
161,09/21/2022,3806.25,3878.75,3925.25,3792.0,2.44M,-1.72%
162,09/20/2022,3872.75,3923.0,3936.25,3843.25,2.36M,-1.14%
163,09/19/2022,3917.25,3889.5,3927.0,3846.25,2.10M,+1.19%
164,09/16/2022,3871.24,3888.5,3888.5,3846.0,44.59K,-0.79%
165,09/15/2022,3902.0,3955.0,3959.5,3888.0,438.92K,-1.15%
166,09/14/2022,3947.5,3936.75,3962.75,3911.25,662.60K,+0.41%
167,09/13/2022,3931.25,4118.25,4158.0,3919.75,1.42M,-4.37%
168,09/12/2022,4110.75,4077.25,4119.75,4062.25,1.72M,+1.07%
169,09/09/2022,4067.25,4010.25,4077.25,4005.75,1.68M,+1.54%
170,09/08/2022,4005.5,3980.0,4011.5,3942.75,2.36M,+0.64%
171,09/07/2022,3980.0,3907.5,3988.75,3883.5,1.96M,+1.78%
172,09/06/2022,3910.5,3929.0,3963.25,3886.75,2.36M,-0.72%
173,09/05/2022,3939.0,3932.75,3946.0,3918.75,231.16K,+0.15%
174,09/04/2022,3933.0,3928.75,3933.75,3915.5,24.15K,+0.22%
175,09/02/2022,3924.5,3967.5,4019.25,3906.0,2.51M,-1.11%
176,09/01/2022,3968.75,3958.0,3971.25,3903.5,2.21M,+0.31%
177,08/31/2022,3956.5,3987.25,4018.25,3953.0,2.37M,-0.78%
178,08/30/2022,3987.5,4035.75,4072.75,3964.5,2.56M,-1.09%
179,08/29/2022,4031.25,4024.0,4064.0,4006.75,1.96M,-0.70%
180,08/26/2022,4059.5,4198.25,4217.25,4042.75,2.24M,-3.37%
181,08/25/2022,4201.0,4148.75,4202.75,4143.0,1.64M,+1.41%
182,08/24/2022,4142.75,4128.25,4158.5,4110.75,1.35M,+0.30%
183,08/23/2022,4130.5,4147.0,4161.75,4118.0,1.58M,-0.26%
184,08/22/2022,4141.25,4221.0,4221.5,4131.5,1.72M,-2.13%
185,08/19/2022,4231.5,4287.0,4288.0,4220.75,1.70M,-1.28%
186,08/18/2022,4286.5,4279.5,4295.5,4258.0,1.37M,+0.23%
187,08/17/2022,4276.75,4309.25,4315.0,4255.0,1.64M,-0.72%
188,08/16/2022,4307.75,4294.5,4327.5,4278.75,1.36M,+0.22%
189,08/15/2022,4298.25,4277.0,4304.75,4249.0,1.32M,+0.40%
190,08/12/2022,4281.0,4219.25,4282.75,4208.25,1.30M,+1.69%
191,08/11/2022,4209.75,4210.75,4260.5,4202.75,1.60M,-0.01%
192,08/10/2022,4210.0,4128.75,4213.5,4113.75,1.63M,+2.07%
193,08/09/2022,4124.5,4148.5,4155.0,4113.0,1.28M,-0.42%
194,08/08/2022,4141.75,4149.75,4188.0,4129.25,1.54M,-0.12%
195,08/05/2022,4146.75,4152.0,4166.25,4103.75,1.72M,-0.13%
196,08/04/2022,4152.25,4150.25,4173.25,4136.0,1.25M,-0.10%
197,08/03/2022,4156.25,4097.0,4170.0,4084.5,1.70M,+1.53%
198,08/02/2022,4093.75,4119.75,4143.0,4080.5,1.89M,-0.65%
199,08/01/2022,4120.5,4137.5,4147.25,4097.0,1.78M,-0.31%
200,07/29/2022,4133.5,4105.0,4144.0,4081.0,1.92M,+1.47%
201,07/28/2022,4073.5,4022.0,4111.0,3994.5,2.01M,+1.22%
202,07/27/2022,4024.5,3939.25,4042.75,3938.75,1.74M,+2.58%
203,07/26/2022,3923.25,3959.0,3964.5,3913.25,1.59M,-1.18%
204,07/25/2022,3970.0,3967.75,3988.75,3946.0,1.49M,+0.13%
205,07/22/2022,3965.0,3988.0,4016.25,3941.5,1.74M,-0.91%
206,07/21/2022,4001.25,3954.0,4004.75,3930.25,1.82M,+0.98%
207,07/20/2022,3962.5,3947.0,3977.25,3922.25,1.73M,+0.63%
208,07/19/2022,3937.5,3838.5,3948.0,3834.0,1.61M,+2.71%
209,07/18/2022,3833.75,3878.5,3909.5,3820.25,1.44M,-0.81%
210,07/15/2022,3865.0,3797.75,3868.25,3780.25,1.52M,+1.89%
211,07/14/2022,3793.25,3795.75,3806.25,3723.75,1.92M,-0.30%
212,07/13/2022,3804.5,3825.0,3873.0,3752.0,2.16M,-0.50%
213,07/12/2022,3823.75,3862.0,3876.5,3804.75,1.64M,-0.86%
214,07/11/2022,3856.75,3900.0,3900.75,3850.0,1.49M,-1.14%
215,07/08/2022,3901.25,3897.0,3922.0,3868.0,1.49M,-0.10%
216,07/07/2022,3905.0,3853.75,3914.25,3832.5,1.31M,+1.47%
217,07/06/2022,3848.25,3838.0,3875.0,3808.75,1.68M,+0.37%
218,07/05/2022,3834.0,3828.5,3857.75,3744.0,2.03M,-0.33%
219,07/04/2022,3846.75,3812.0,3855.75,3793.25,169.38K,+0.91%
220,07/03/2022,3812.0,3827.75,3827.75,3809.75,12.01K,-0.40%
221,07/01/2022,3827.25,3782.0,3833.5,3744.5,1.75M,+1.00%
222,06/30/2022,3789.5,3822.75,3825.0,3741.25,2.39M,-0.83%
223,06/29/2022,3821.25,3828.25,3840.0,3801.25,1.72M,-0.11%
224,06/28/2022,3825.5,3911.25,3950.0,3821.75,1.79M,-2.00%
225,06/27/2022,3903.75,3915.0,3948.0,3892.5,1.50M,-0.32%
226,06/24/2022,3916.25,3785.25,3919.75,3781.25,1.56M,+3.07%
227,06/23/2022,3799.75,3761.25,3805.75,3735.0,1.61M,+0.98%
228,06/22/2022,3762.75,3766.25,3805.5,3693.25,1.66M,-0.13%
229,06/21/2022,3767.75,3684.0,3783.75,3661.5,1.57M,+1.37%
230,06/20/2022,3717.0,3705.75,3724.5,3662.25,243.02K,+0.31%
231,06/19/2022,3705.5,3683.75,3707.5,3683.75,17.35K,+1.14%
232,06/17/2022,3663.76,3677.5,3710.75,3665.75,40.26K,-0.12%
233,06/16/2022,3668.25,3794.25,3828.75,3639.0,544.03K,-3.19%
234,06/15/2022,3789.25,3740.0,3839.0,3720.25,777.55K,+1.40%
235,06/14/2022,3736.75,3758.25,3805.0,3705.25,1.34M,-0.37%
236,06/13/2022,3750.5,3870.75,3876.5,3732.5,2.16M,-3.81%
237,06/10/2022,3899.0,4025.25,4029.5,3895.25,2.12M,-2.92%
238,06/09/2022,4016.25,4116.0,4144.25,4014.75,2.02M,-2.38%
239,06/08/2022,4114.0,4150.75,4160.0,4105.25,1.71M,-1.08%
240,06/07/2022,4158.75,4122.0,4164.0,4076.0,1.68M,+0.93%
241,06/06/2022,4120.5,4110.5,4168.25,4104.5,1.46M,+0.33%
242,06/03/2022,4107.0,4177.75,4189.0,4096.75,1.53M,-1.63%
243,06/02/2022,4175.25,4097.75,4179.0,4072.25,1.51M,+1.86%
244,06/01/2022,4099.0,4138.5,4165.0,4071.5,1.91M,-0.78%
245,05/31/2022,4131.25,4164.5,4202.25,4102.75,2.22M,-1.11%
